Gross Output by Industry
Gross Output by Industry
"Release Date: November 16, 2021"
Line,,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
"    11","  Construction",58.2,59.5,62.8,66.8,72.6,79.1,83.2,85.4,96.3,105.4,108.5,128.7,148.6,163.2,163.8,160.8,181.4,210.7,252.3,287.1,288.4,305.8,295.8,332.9,392.5,432.0,465.6,493.9,509.1,523.9,530.3,490.9,515.1,545.3,587.7,613.7,666.8,709.1
"    12","  Manufacturing",376.8,375.6,405.6,423.9,451.7,496.3,542.4,558.4,603.1,642.3,634.3,669.3,748.0,864.1,1004.4,1025.4,1164.2,1325.3,1482.6,1684.3,1810.0,1970.7,1910.8,2001.7,2200.1,2228.1,2207.1,2412.6,2628.3,2774.4,2836.5,2796.0,2922.3,3052.6,3282.8,3541.2,3667.9,3898.0
"    13","    Durable goods",193.9,189.9,210.5,225.6,243.5,275.6,305.1,310.2,340.4,363.5,349.7,370.6,417.7,484.5,541.2,534.6,614.9,709.9,812.5,915.2,940.0,1019.8,967.2,1030.3,1170.1,1198.6,1212.6,1299.5,1423.1,1481.9,1486.0,1443.2,1531.9,1630.4,1796.2,1945.8,2031.3,2189.8
"    14","      Wood products",7.6,7.1,7.4,7.9,8.5,9.0,9.6,9.9,11.5,13.1,13.2,15.3,19.9,22.9,24.3,22.6,27.3,31.8,35.0,37.4,36.1,36.6,32.8,38.3,42.8,42.6,45.4,54.4,56.0,57.5,57.0,53.8,62.0,72.1,79.9,81.2,83.3,88.8
"    15","      Nonmetallic mineral products",10.2,10.3,11.0,11.8,12.4,13.4,14.0,13.9,15.1,16.2,16.1,17.8,20.5,22.7,25.1,25.8,29.2,33.7,39.7,43.6,43.9,45.6,43.1,46.5,50.9,52.6,54.9,61.3,62.6,63.3,63.5,59.6,62.2,65.1,70.7,75.7,81.8,85.9
"    16","      Primary metals",29.5,29.0,31.2,33.3,37.6,42.1,45.3,42.9,46.5,51.1,49.3,49.0,55.4,68.3,89.7,77.1,88.7,97.8,113.1,132.0,130.2,139.5,104.7,108.0,116.5,106.6,101.6,110.2,137.4,142.3,136.1,124.2,125.2,129.7,145.3,163.1,161.4,168.3
"    17","      Fabricated metal products",24.1,23.2,24.8,25.9,28.3,31.8,36.9,41.2,44.8,47.5,45.7,46.5,51.8,59.8,70.5,72.7,80.9,92.7,105.4,121.0,127.5,137.2,131.1,130.0,142.1,144.1,143.4,148.4,162.9,169.5,172.9,168.5,174.6,181.9,200.2,219.3,230.4,243.9
"    18","      Machinery",20.8,21.1,23.3,25.5,28.8,32.5,37.9,39.8,41.3,45.0,45.6,46.1,53.9,63.1,74.2,77.7,83.6,95.1,109.3,125.4,134.4,147.0,132.9,121.3,139.5,145.1,141.5,150.7,168.5,183.9,184.6,178.5,181.6,197.4,220.1,243.9,254.6,269.8
"    19","      Computer and electronic products",17.5,18.9,21.1,23.7,24.1,27.7,33.5,35.4,37.8,40.2,39.8,39.1,43.4,49.6,55.1,54.4,62.6,76.1,88.9,105.4,124.9,139.9,155.9,169.3,202.6,208.5,207.2,225.0,246.0,250.5,259.8,262.0,278.7,293.2,330.9,386.5,417.0,461.1
"    20","      Electrical equipment, appliances, and components",11.4,11.9,13.2,14.4,15.4,17.4,19.7,20.3,21.5,23.0,23.1,23.2,26.0,29.9,33.6,31.1,35.5,41.3,46.0,51.8,53.9,56.7,54.1,57.6,65.5,66.7,68.0,72.3,77.9,82.2,81.1,77.3,83.0,89.1,97.1,102.9,106.5,111.1
"    21","      Motor vehicles, bodies and trailers, and parts",40.3,34.4,42.7,46.0,49.8,60.0,60.4,53.2,63.6,66.1,57.5,74.1,82.0,94.0,87.0,87.0,114.2,137.3,157.8,160.8,135.2,152.9,148.0,185.7,224.1,231.2,234.9,245.6,265.1,276.1,255.8,246.2,283.0,319.7,374.5,391.4,397.4,431.0
"    22","      Other transportation equipment",18.5,19.7,20.7,21.5,22.0,23.7,28.3,33.0,35.8,37.1,35.3,34.2,34.7,41.1,46.1,50.6,52.9,57.1,64.5,79.7,91.5,96.3,94.4,100.6,105.5,118.5,129.7,131.7,138.9,143.8,156.7,154.5,154.6,145.5,133.6,128.4,136.8,155.6
"    23","      Furniture and related products",5.7,5.6,6.1,6.0,6.5,7.1,7.7,7.9,8.6,9.3,9.1,9.8,11.9,13.4,13.9,13.0,15.1,18.5,21.5,23.0,24.2,25.8,25.8,28.7,32.8,34.2,36.2,41.5,42.8,44.6,44.8,42.3,46.2,48.9,52.5,55.0,57.0,63.6
"    24","      Miscellaneous manufacturing",8.4,8.8,9.1,9.7,10.2,11.1,11.9,12.7,13.7,14.9,14.9,15.5,18.2,19.7,21.7,22.6,24.9,28.6,31.5,35.0,38.3,42.3,44.4,44.5,47.8,48.4,49.8,58.4,65.0,68.3,73.6,76.2,80.9,87.9,91.6,98.3,105.2,110.8
"    25","    Nondurable goods",182.8,185.7,195.1,198.3,208.2,220.6,237.3,248.2,262.8,278.8,284.6,298.8,330.3,379.5,463.3,490.8,549.3,615.4,670.1,769.1,870.0,950.9,943.5,971.4,1030.0,1029.5,994.5,1113.2,1205.2,1292.6,1350.4,1352.8,1390.4,1422.2,1486.6,1595.4,1636.7,1708.1
"    26","      Food and beverage and tobacco products",71.3,73.8,76.6,76.1,79.2,81.7,87.3,91.5,94.7,100.7,106.0,110.9,122.6,142.6,168.5,178.1,186.1,196.5,219.8,239.9,261.7,279.5,290.0,298.0,313.5,317.1,324.1,348.1,375.2,404.8,420.3,431.5,445.2,455.3,468.3,491.0,508.8,531.8
"    27","      Textile mills and textile product mills",15.8,15.9,17.2,17.8,19.2,20.5,21.9,22.3,24.3,25.1,24.5,26.1,30.3,34.0,36.2,34.5,40.9,46.2,47.4,50.0,51.3,54.1,50.4,56.7,59.0,56.4,58.5,67.7,70.8,73.5,71.7,71.8,76.8,80.3,84.9,86.2,85.9,89.1
"    28","      Apparel and leather and allied products",20.3,20.0,21.1,21.9,22.9,24.2,25.4,26.7,28.5,30.2,29.5,30.9,32.3,34.3,34.9,35.7,39.1,43.7,46.5,47.4,51.3,55.3,57.7,59.9,61.0,59.8,59.7,66.5,68.8,67.6,68.5,69.9,74.6,77.9,81.5,82.9,83.6,87.2
"    29","      Paper products",14.5,14.5,15.5,16.4,17.2,18.6,20.4,21.2,22.4,24.7,25.1,25.6,28.4,32.6,40.3,41.5,47.4,52.1,57.0,63.9,70.3,76.8,78.5,82.8,91.6,91.4,95.9,104.1,117.6,126.2,126.5,124.5,126.2,126.2,136.0,166.0,152.7,149.2
"    30","      Printing and related support activities",10.2,10.0,10.2,7.5,7.9,8.7,9.4,10.0,10.8,11.8,12.3,12.6,14.3,15.8,17.6,18.6,21.0,24.4,27.5,30.8,34.1,38.0,42.6,45.7,51.5,54.8,57.8,66.4,70.8,74.4,78.4,76.8,81.4,83.2,85.6,92.6,95.9,98.4
"    31","      Petroleum and coal products",17.6,17.4,17.4,18.0,18.5,19.3,20.6,22.3,23.1,23.9,24.0,25.4,26.5,32.7,55.7,66.5,79.9,95.9,102.3,145.6,194.4,219.4,205.1,187.0,182.0,170.7,119.5,130.1,130.0,144.2,170.6,157.6,148.4,143.4,142.2,150.0,171.5,175.7
"    32","      Chemical products",25.2,26.2,28.5,31.3,33.6,36.9,40.3,41.6,44.7,46.8,47.5,49.7,55.2,63.1,81.6,87.9,102.1,116.1,125.3,143.3,157.8,173.1,162.6,179.3,199.7,205.2,202.4,241.7,274.4,298.0,306.6,313.1,323.2,332.5,352.8,380.6,387.7,417.6
"    33","      Plastics and rubber products",7.9,7.9,8.6,9.1,9.7,10.8,12.0,12.7,14.3,15.8,15.8,17.5,20.8,24.4,28.4,28.0,32.8,40.6,44.3,48.3,49.1,54.8,56.6,62.0,71.7,74.1,76.7,88.6,97.7,103.9,107.9,107.6,114.6,123.2,135.3,146.0,150.4,159.0
"    34","  Wholesale trade",41.2,42.4,45.0,47.6,52.4,60.7,67.3,69.7,73.7,78.5,83.7,90.5,100.3,110.6,128.7,136.1,164.3,189.9,207.4,236.1,288.2,308.2,288.0,288.8,334.2,363.8,378.9,412.0,455.1,479.4,509.9,516.2,537.8,580.3,635.5,690.8,711.9,747.2
"    35","  Retail trade",70.4,70.8,76.8,81.2,85.3,91.6,97.0,99.2,106.0,112.0,118.3,126.6,138.2,148.8,168.2,166.7,203.6,228.7,245.7,262.0,326.1,340.4,338.4,361.6,388.8,440.0,458.1,514.3,536.2,566.6,589.1,596.8,629.9,679.4,741.1,786.2,824.4,857.3
"    36","    Motor vehicle and parts dealers",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"    37","    Food and beverage stores",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"    38","    General merchandise stores",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"    39","    Other retail",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"    40","  Transportation and warehousing",38.2,38.7,41.9,43.6,46.8,50.5,54.9,57.9,62.5,70.2,74.9,80.4,87.5,96.7,109.2,113.7,126.5,145.8,169.4,184.1,208.5,216.4,218.3,231.6,255.2,257.9,265.1,285.7,315.2,331.8,353.2,357.9,376.2,398.7,426.9,449.0,471.6,499.4
"    41","    Air transportation",...,...,...,4.2,4.8,5.6,6.5,7.8,8.9,10.2,10.8,11.8,13.1,15.0,17.8,18.1,20.8,23.6,26.7,25.3,37.4,33.2,40.1,43.9,50.3,53.8,58.0,67.4,75.4,77.8,80.6,81.2,83.0,90.5,95.5,101.9,106.1,114.3
"    42","    Rail transportation",...,...,...,11.4,11.8,12.4,13.0,12.7,13.1,13.8,14.3,15.1,15.9,17.7,20.2,19.9,20.9,24.0,25.8,29.1,32.8,36.5,32.9,32.0,35.2,33.0,31.2,31.9,33.7,34.2,34.8,34.3,35.2,35.4,37.1,38.2,38.2,38.2
"    43","    Water transportation",...,...,...,2.7,3.0,3.1,3.7,3.9,4.5,4.3,4.7,4.5,4.9,5.8,7.2,7.9,9.8,11.2,12.4,14.7,15.9,17.7,15.6,15.9,16.3,16.3,16.3,15.7,17.4,17.6,18.5,19.0,19.1,20.2,20.7,22.5,24.2,24.8
"    44","    Truck transportation",...,...,...,11.6,12.7,13.8,14.9,15.6,16.6,20.2,21.7,23.6,26.0,28.1,30.1,31.6,34.7,39.7,46.6,51.0,51.0,54.1,52.6,59.2,66.4,68.6,71.2,80.4,90.6,98.5,108.8,109.1,118.0,124.6,137.9,143.6,151.7,162.0
"    45","    Transit and ground passenger transportation",...,...,...,3.8,3.9,4.0,4.3,4.6,5.0,5.5,6.1,6.7,7.1,7.2,7.9,8.4,9.2,9.9,10.2,10.9,11.5,12.3,13.0,13.5,14.5,15.2,15.5,15.5,16.4,17.3,18.6,19.4,19.8,20.3,20.8,21.9,23.0,24.3
"    46","    Pipeline transportation",...,...,...,1.4,1.6,1.7,1.9,2.1,2.3,2.6,2.9,3.2,3.5,3.9,4.4,5.2,6.1,8.1,14.2,16.6,18.1,18.8,20.0,20.7,21.5,20.3,19.8,18.9,19.0,19.3,19.4,19.1,20.3,21.8,22.5,22.0,23.9,24.3
"    47","    Other transportation and support activities",...,...,...,6.7,7.2,7.8,8.4,8.8,9.5,10.8,11.5,12.4,13.5,15.2,17.5,18.2,20.3,23.7,27.1,29.1,34.0,35.0,35.9,37.3,40.6,40.2,41.5,43.7,49.2,52.8,57.1,60.0,63.7,67.4,72.1,76.4,80.9,85.2
"    48","    Warehousing and storage",...,...,...,1.8,1.9,2.1,2.3,2.4,2.5,2.8,3.0,3.2,3.4,3.8,4.3,4.4,4.8,5.7,6.5,7.4,7.8,8.6,8.3,9.1,10.4,10.6,11.7,12.1,13.6,14.4,15.4,15.7,17.2,18.5,20.3,22.5,23.6,26.3
"    49","  Information",28.9,30.1,32.2,34.9,37.1,40.5,45.2,48.5,52.7,58.1,62.4,66.8,74.4,83.3,91.5,102.5,115.3,127.8,145.1,163.0,178.0,204.9,233.5,260.8,284.6,305.6,333.1,350.7,375.0,397.7,422.6,440.6,463.9,504.1,544.4,598.6,662.4,730.6
"    50","    Publishing industries, except internet (includes software)",...,...,...,9.9,10.4,11.2,13.2,13.6,14.5,15.9,17.1,17.5,19.0,20.9,23.0,24.9,27.2,30.4,35.4,40.6,44.7,48.8,53.5,61.0,67.4,70.1,78.6,89.0,97.3,103.5,109.3,113.0,117.2,129.5,139.9,153.5,171.0,190.8
"    51","    Motion picture and sound recording industries",...,...,...,4.3,4.4,5.0,5.4,5.8,6.6,7.0,7.1,7.7,8.6,9.3,10.1,11.3,13.4,15.0,16.2,18.5,18.9,22.6,25.0,27.7,30.9,33.0,36.6,38.4,41.6,46.6,49.9,53.7,55.8,62.5,68.5,76.5,85.8,89.5
"    52","    Broadcasting and telecommunications",...,...,...,19.5,21.0,23.0,25.0,27.3,29.5,32.7,35.3,38.3,42.9,48.5,53.4,60.7,68.1,74.6,84.1,92.5,101.5,118.4,137.8,153.2,166.4,182.0,196.3,203.4,213.8,222.4,235.5,244.5,259.4,278.1,298.2,326.7,361.0,404.1
"    53","    Data processing, internet publishing, and other information services",...,...,...,1.2,1.3,1.4,1.6,1.8,2.1,2.5,2.9,3.3,3.9,4.5,5.0,5.6,6.5,7.9,9.4,11.3,13.0,15.1,17.1,18.9,19.9,20.6,21.5,19.9,22.2,25.1,27.8,29.4,31.6,34.0,37.9,41.9,44.6,46.2
"    54","  Finance, insurance, real estate, rental, and leasing",102.1,108.5,114.8,120.0,130.8,141.6,152.7,164.2,179.9,197.9,215.1,235.9,260.3,282.9,309.1,347.0,377.7,426.0,490.8,543.4,600.7,664.3,742.4,863.6,951.0,1074.3,1162.5,1256.6,1366.6,1463.9,1561.4,1628.4,1718.2,1842.7,1954.6,2076.7,2249.2,2411.9
"    55","    Finance and insurance",33.6,36.7,39.1,40.8,46.0,50.3,54.9,58.4,66.0,74.1,81.1,87.6,97.5,104.5,114.9,134.3,143.2,163.1,192.6,206.7,223.0,239.2,280.7,356.5,391.1,454.2,486.5,527.6,552.1,588.7,609.4,646.1,678.6,744.0,775.8,838.6,918.9,1005.9
"    56","      Federal Reserve banks, credit intermediation, and related activities",...,...,...,17.6,20.2,21.7,23.9,26.4,28.4,35.0,40.3,42.6,46.4,50.5,58.1,70.3,68.9,73.3,88.9,95.4,99.9,103.5,122.3,163.9,168.6,191.4,215.0,225.8,237.0,240.7,248.6,262.3,275.5,293.3,306.6,326.6,359.0,393.8
"    57","      Securities, commodity contracts, and investments",...,...,...,3.1,3.4,3.8,4.5,5.2,6.5,6.0,4.8,6.6,7.9,6.1,5.2,7.2,8.2,10.3,12.2,15.3,18.8,22.1,29.2,42.9,39.8,48.5,62.6,71.0,64.1,74.1,69.6,83.0,89.1,110.5,107.7,136.3,173.3,206.0
"    58","      Insurance carriers and related activities",...,...,...,18.3,20.4,22.7,24.0,24.2,28.2,29.8,32.3,34.2,38.7,42.7,45.7,50.1,58.3,70.4,81.9,85.8,91.9,99.7,113.6,132.3,162.3,190.6,182.9,195.4,218.9,239.3,257.2,268.8,281.3,301.8,323.2,332.0,337.1,350.0
"    59","      Funds, trusts, and other financial vehicles",...,...,...,1.8,2.0,2.2,2.3,2.6,2.9,3.3,3.7,4.1,4.5,5.2,5.9,6.7,7.7,9.0,9.5,10.3,12.3,13.9,15.6,17.5,20.4,23.7,26.1,35.4,32.1,34.6,34.0,32.0,32.8,38.4,38.3,43.8,49.5,56.1
"    60","    Real estate and rental and leasing",68.6,71.7,75.8,79.1,84.8,91.3,97.8,105.8,113.9,123.8,134.1,148.3,162.8,178.5,194.2,212.7,234.5,262.9,298.2,336.7,377.7,425.0,461.7,507.0,559.9,620.2,675.9,728.9,814.5,875.2,952.0,982.4,1039.6,1098.7,1178.8,1238.1,1330.3,1406.0
"    61","      Real estate",62.8,65.6,69.1,72.0,77.6,84.0,90.4,97.8,105.1,114.2,123.3,135.7,148.3,162.7,177.6,195.0,215.4,242.1,274.2,308.0,344.1,386.1,418.7,459.1,505.6,560.3,612.0,662.3,734.9,788.7,857.5,889.8,942.0,992.6,1062.6,1113.2,1190.7,1256.1
"    62","        Housing",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"    63","        Other real estate",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"    64","      Rental and leasing services and lessors of intangible assets",5.8,6.2,6.7,7.1,7.3,7.3,7.3,8.0,8.7,9.6,10.8,12.6,14.5,15.8,16.6,17.7,19.1,20.8,24.0,28.8,33.6,38.9,43.0,47.9,54.3,59.9,64.0,66.6,79.6,86.5,94.5,92.5,97.6,106.1,116.3,124.9,139.6,149.9
"    65","  Professional and business services",36.2,38.7,42.2,45.3,49.4,54.1,60.9,64.7,70.3,77.6,84.0,89.9,99.3,112.2,123.2,134.1,150.4,170.5,197.4,226.4,257.1,297.2,322.3,362.8,418.7,471.7,518.7,568.1,644.8,718.7,784.1,803.6,854.8,915.9,984.7,1080.0,1191.0,1345.9
"    66","    Professional, scientific, and technical services",18.4,20.2,22.2,24.0,26.1,28.5,32.5,34.7,37.4,41.8,46.2,49.5,54.7,62.2,68.1,73.8,81.4,91.3,106.5,123.4,142.6,167.6,185.3,207.9,238.8,271.5,299.9,332.7,379.6,426.2,464.0,475.4,503.0,540.0,572.7,627.7,695.9,799.8
"    67","      Legal services",...,...,...,7.0,7.4,8.0,9.0,9.5,10.0,11.1,13.1,14.4,15.9,18.3,20.2,21.0,23.1,25.5,29.3,30.9,34.7,40.9,45.3,49.8,56.5,64.7,71.9,81.4,92.7,101.5,111.5,114.5,124.5,129.1,132.6,134.6,145.3,155.6
"    68","      Computer systems design and related services",...,...,...,2.0,2.2,2.4,3.0,2.8,2.9,3.6,4.2,3.9,3.9,4.5,5.5,6.8,7.4,7.8,9.0,11.5,13.8,16.5,19.4,20.9,23.8,25.3,27.3,26.6,31.3,37.2,40.1,42.6,40.5,55.7,63.0,74.6,84.4,123.9
"    69","      Miscellaneous professional, scientific, and technical services",...,...,...,15.1,16.6,18.1,20.5,22.4,24.5,27.2,29.0,31.2,34.9,39.3,42.3,46.0,50.8,58.0,68.2,81.0,94.2,110.3,120.6,137.2,158.5,181.4,200.7,224.7,255.6,287.5,312.3,318.3,337.9,355.1,377.1,418.5,466.2,520.3
"    70","    Management of companies and enterprises",11.3,11.6,12.6,13.1,14.2,15.4,16.9,17.7,19.4,20.7,21.3,22.9,24.9,27.6,30.0,33.0,37.4,42.1,47.7,52.3,57.4,64.3,67.1,75.4,85.9,94.0,101.6,104.5,110.9,118.2,125.5,130.6,138.3,147.7,158.3,168.4,179.8,195.2
"    71","    Administrative and waste management services",6.5,7.0,7.5,8.1,9.1,10.2,11.4,12.3,13.5,15.1,16.5,17.5,19.7,22.5,25.2,27.3,31.7,37.1,43.2,50.8,57.1,65.4,69.9,79.6,94.0,106.2,117.2,130.8,154.4,174.3,194.6,197.6,213.5,228.3,253.7,283.9,315.4,350.9
"    72","      Administrative and support services",...,...,...,5.6,6.4,7.2,8.3,9.2,9.9,11.2,12.1,12.9,14.5,16.8,19.1,20.7,24.0,28.7,33.9,40.7,46.4,54.2,58.1,66.6,79.3,88.7,98.6,110.8,130.8,148.4,166.1,169.3,182.5,194.9,217.4,245.6,275.1,308.9
"    73","      Waste management and remediation services",...,...,...,2.4,2.7,3.0,3.1,3.2,3.6,3.9,4.4,4.6,5.2,5.7,6.1,6.6,7.7,8.4,9.4,10.0,10.8,11.2,11.8,12.9,14.7,17.5,18.6,20.0,23.5,25.9,28.4,28.3,31.0,33.4,36.3,38.3,40.3,42.0
"    74","  Educational services, health care, and social assistance",21.7,23.1,25.5,28.1,31.9,34.8,38.5,42.6,48.3,54.8,61.6,68.6,76.0,84.8,94.8,109.5,124.8,140.7,158.9,179.2,205.5,239.4,265.6,299.3,328.6,360.7,394.9,438.9,495.3,545.4,606.9,659.4,720.6,760.3,795.5,841.8,884.2,929.4
"    75","    Educational services",4.6,4.9,5.5,6.1,6.7,7.6,8.5,9.4,10.4,11.5,12.8,13.9,14.9,16.4,17.7,19.5,21.4,23.0,25.4,27.9,31.3,35.0,38.8,42.4,45.9,49.5,53.2,56.7,63.0,68.9,74.6,79.3,84.5,89.2,94.3,100.7,108.5,113.1
"    76","    Health care and social assistance",17.1,18.2,20.0,22.0,25.2,27.2,30.0,33.2,37.8,43.3,48.7,54.8,61.2,68.4,77.1,90.0,103.4,117.8,133.5,151.3,174.2,204.3,226.7,256.8,282.7,311.2,341.7,382.3,432.3,476.4,532.4,580.1,636.1,671.1,701.2,741.0,775.7,816.3
"    77","      Ambulatory health care services",...,...,...,11.9,14.0,14.9,15.8,16.6,18.1,20.2,22.5,24.2,26.3,29.9,33.1,38.4,43.2,49.3,54.4,61.1,70.1,83.0,89.9,103.4,117.1,132.1,147.4,170.6,195.1,214.0,240.3,262.5,292.5,309.6,328.4,352.2,368.9,388.2
"    78","      Hospitals and nursing and residential care facilities",...,...,...,9.0,10.1,11.0,12.5,14.7,17.6,20.7,23.5,27.3,30.8,34.1,39.1,46.0,53.6,60.8,70.0,79.6,91.7,107.3,121.7,136.7,147.0,157.9,170.7,185.0,205.1,227.5,253.4,278.1,301.5,316.0,324.3,337.1,352.7,366.5
"    79","      Hospitals",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"    80","      Nursing and residential care facilities",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"    81","      Social assistance",...,...,...,1.1,1.2,1.3,1.6,1.9,2.1,2.5,2.8,3.3,4.0,4.4,4.8,5.6,6.6,7.6,9.0,10.6,12.4,14.0,15.1,16.7,18.6,21.2,23.6,26.6,32.1,34.9,38.6,39.5,42.2,45.5,48.5,51.6,54.0,61.6
"    82","  Arts, entertainment, recreation, accommodation, and food services",27.9,28.7,30.5,32.1,34.5,37.4,40.7,43.1,48.0,52.2,57.9,60.8,68.4,76.1,83.2,93.2,104.4,114.3,128.9,146.9,162.2,181.0,192.8,209.6,227.8,244.7,261.3,287.2,319.5,340.7,369.9,380.1,403.6,431.8,459.0,486.2,516.1,550.8
"    83","    Arts, entertainment, and recreation",4.8,5.2,5.7,6.2,6.6,6.8,7.4,7.8,8.5,9.3,10.1,10.7,11.6,13.1,14.9,16.8,18.8,21.0,22.9,25.3,28.6,32.9,35.0,38.5,41.1,44.8,46.7,49.4,55.8,61.3,69.7,72.8,81.5,89.8,97.3,108.7,118.6,127.4
"    84","      Performing arts, spectator sports, museums, and related activities",...,...,...,3.0,3.3,3.4,3.7,4.0,4.4,4.9,5.4,5.7,6.1,6.8,7.5,8.3,9.1,10.0,11.0,12.3,14.0,15.9,16.9,18.5,19.9,21.2,22.0,23.1,25.7,27.1,32.1,33.9,37.0,41.9,45.7,50.6,55.9,59.3
"    85","      Amusements, gambling, and recreation industries",...,...,...,3.2,3.4,3.4,3.6,3.8,4.1,4.4,4.8,5.0,5.5,6.3,7.4,8.5,9.7,11.0,11.9,13.0,14.6,17.0,18.1,20.0,21.2,23.6,24.8,26.3,30.1,34.2,37.6,38.9,44.5,48.0,51.6,58.1,62.6,68.1
